GeneSet	GenesInGS(K)	Desc	GenesinOL(k)	k/K	pValue	qValue
GO_PROTEIN_REFOLDING	20	The process carried out by a cell that restores the biological activity of an unfolded or misfolded protein, using helper proteins such as chaperones.	4	0.2000	4.21E-9	1.96E-5
GO_LOCOMOTION	1114	Self-propelled movement of a cell or organism from one location to another.	10	0.0090	1.24E-7	2.89E-4
GO_MOVEMENT_OF_CELL_OR_SUBCELLULAR_COMPONENT	1275	The directed, self-propelled movement of a cell or subcellular component without the involvement of an external agent such as a transporter or a pore.	10	0.0078	4.29E-7	6.06E-4
GO_REGULATION_OF_INCLUSION_BODY_ASSEMBLY	16	Any process that modulates the rate, frequency, or extent of inclusion body assembly. Inclusion body assembly is the aggregation, arrangement and bonding together of a set of components to form an inclusion body.	3	0.1875	5.21E-7	6.06E-4
GO_REGULATION_OF_CELLULAR_RESPONSE_TO_HEAT	76	Any process that modulates the frequency, rate or extent of cellular response to heat.	4	0.0526	1.07E-6	9.73E-4
GO_CELL_MOTILITY	835	Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another.	8	0.0096	1.63E-6	9.73E-4
GO_LOCALIZATION_OF_CELL	835	Any process in which a cell is transported to, and/or maintained in, a specific location.	8	0.0096	1.63E-6	9.73E-4
GO_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY	363	Any process that modulates the frequency, rate or extent of apoptotic signaling pathway.	6	0.0165	1.67E-6	9.73E-4
GO_PROTEIN_FOLDING	224	The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure.	5	0.0223	3.06E-6	1.58E-3
GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	437	Any process that stops, prevents or reduces the frequency, rate or extent of intracellular signal transduction.	6	0.0137	4.85E-6	2.26E-3
GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	1710	Any process that modulates the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein.	10	0.0058	5.94E-6	2.51E-3
GO_CELLULAR_RESPONSE_TO_HEAT	36	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism.	3	0.0833	6.55E-6	2.54E-3
GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	1395	Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs.	9	0.0065	8.54E-6	3.05E-3
GO_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	1087	Any process that stops, prevents, or reduces the frequency, rate or extent of chemical reactions and pathways involving a protein.	8	0.0074	1.12E-5	3.73E-3
GO_REGULATION_OF_RESPONSE_TO_STRESS	1468	Any process that modulates the frequency, rate or extent of a response to stress. Response to stress is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation).	9	0.0061	1.28E-5	3.81E-3
GO_REGULATION_OF_CELL_DEATH	1472	Any process that modulates the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death.	9	0.0061	1.31E-5	3.81E-3
GO_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	153	Any process that modulates the frequency, rate or extent of extrinsic apoptotic signaling pathway.	4	0.0261	1.73E-5	4.73E-3
GO_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	163	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a protein that is not folded in its correct three-dimensional structure.	4	0.0245	2.22E-5	5.73E-3
GO_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	1656	Any process that modulates the frequency, rate or extent of intracellular signal transduction.	9	0.0054	3.31E-5	8.01E-3
GO_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	370	Any process that activates or increases the frequency, rate or extent of production of a cytokine.	5	0.0135	3.44E-5	8.01E-3
