GeneSet	GenesInGS(K)	Desc	GenesinOL(k)	k/K	pValue	qValue
GO_SEQUENCE_SPECIFIC_DNA_BINDING	1037	Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding.	24	0.0231	3.33E-19	3.09E-16
GO_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_ACTIVITY_SEQUENCE_SPECIFIC_DNA_BINDING	629	Interacting selectively and non-covalently with a specific DNA sequence in order to modulate transcription by RNA polymerase II. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.	18	0.0286	4.18E-16	1.94E-13
GO_NUCLEIC_ACID_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	1199	Interacting selectively and non-covalently with a DNA or RNA sequence in order to modulate transcription. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.	21	0.0175	1.83E-14	5.68E-12
GO_DOUBLE_STRANDED_DNA_BINDING	764	Interacting selectively and non-covalently with double-stranded DNA.	17	0.0223	1.74E-13	4.03E-11
GO_REGULATORY_REGION_NUCLEIC_ACID_BINDING	818	Interacting selectively and non-covalently with a nucleic acid region that regulates a nucleic acid-based process. Such processes include transcription, DNA replication, and DNA repair.	17	0.0208	5.16E-13	9.59E-11
GO_TRANSCRIPTIONAL_ACTIVATOR_ACTIVITY_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_BINDING	315	Interacting selectively and non-covalently with a sequence of DNA that is in the transcription regulatory region for RNA polymerase II (RNAP II) in order to activate or increase the frequency, rate or extent of transcription from the RNAP II promoter.	12	0.0381	1.7E-12	2.63E-10
GO_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_CORE_PROMOTER_PROXIMAL_REGION_SEQUENCE_SPECIFIC_BINDING	328	Interacting selectively and non-covalently with a sequence of DNA that is in cis with and relatively close to a core promoter for RNA polymerase II (RNAP II) in order to modulate transcription by RNAP II.	12	0.0366	2.72E-12	3.62E-10
GO_CORE_PROMOTER_PROXIMAL_REGION_DNA_BINDING	371	Interacting selectively and non-covalently with a region of DNA that is in cis with and relatively close to the core promoter. The transcribed region might be described as a gene, cistron, or operon.	12	0.0323	1.14E-11	1.33E-9
GO_TRANSCRIPTIONAL_ACTIVATOR_ACTIVITY_RNA_POLYMERASE_II_CORE_PROMOTER_PROXIMAL_REGION_SEQUENCE_SPECIFIC_BINDING	226	Interacting selectively and non-covalently with a sequence of DNA that is in cis with and relatively close to a core promoter for RNA polymerase II (RNAP II) in order to activate or increase the frequency, rate or extent of transcription from the RNAP II promoter.	10	0.0442	3.07E-11	3.17E-9
GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	356	Catalysis of the transfer of a specific substance or related group of substances from one side of a membrane to the other, up the solute's concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction.	9	0.0253	4.07E-8	3.78E-6
