GeneSet	GenesInGS(K)	Desc	GenesinOL(k)	k/K	pValue	qValue
GO_ENZYME_BINDING	1737	Interacting selectively and non-covalently with any enzyme.	280	0.1612	1.06E-61	9.85E-59
GO_MACROMOLECULAR_COMPLEX_BINDING	1399	Interacting selectively and non-covalently with any macromolecular complex.	234	0.1673	2.64E-54	1.23E-51
GO_RECEPTOR_BINDING	1476	Interacting selectively and non-covalently with one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function.	241	0.1633	5.51E-54	1.71E-51
GO_NUCLEIC_ACID_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	1199	Interacting selectively and non-covalently with a DNA or RNA sequence in order to modulate transcription. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.	208	0.1735	7.84E-51	1.82E-48
GO_IDENTICAL_PROTEIN_BINDING	1209	Interacting selectively and non-covalently with an identical protein or proteins.	205	0.1696	1.73E-48	3.22E-46
GO_RECEPTOR_ACTIVITY	1649	Combining with an extracellular or intracellular messenger to initiate a change in cell activity.	244	0.1480	8.16E-47	1.26E-44
GO_MOLECULAR_FUNCTION_REGULATOR	1353	A molecular function that modulates the activity of a gene product or complex.  Examples include enzyme regulators and channel regulators.	215	0.1589	3.58E-46	4.75E-44
GO_SEQUENCE_SPECIFIC_DNA_BINDING	1037	Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding.	183	0.1765	8.11E-46	9.42E-44
GO_PROTEIN_COMPLEX_BINDING	935	Interacting selectively and non-covalently with any protein complex (a complex of two or more proteins that may include other nonprotein molecules).	172	0.1840	1.35E-45	1.39E-43
GO_REGULATORY_REGION_NUCLEIC_ACID_BINDING	818	Interacting selectively and non-covalently with a nucleic acid region that regulates a nucleic acid-based process. Such processes include transcription, DNA replication, and DNA repair.	152	0.1858	6.62E-41	6.15E-39
GO_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_ACTIVITY_SEQUENCE_SPECIFIC_DNA_BINDING	629	Interacting selectively and non-covalently with a specific DNA sequence in order to modulate transcription by RNA polymerase II. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.	129	0.2051	1.76E-39	1.48E-37
GO_RIBONUCLEOTIDE_BINDING	1860	Interacting selectively and non-covalently with a ribonucleotide, any compound consisting of a ribonucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety.	247	0.1328	3.3E-39	2.55E-37
GO_PROTEIN_DIMERIZATION_ACTIVITY	1149	The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.	182	0.1584	6.4E-39	4.57E-37
GO_SIGNAL_TRANSDUCER_ACTIVITY	1731	Conveys a signal across a cell to trigger a change in cell function or state. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response.	235	0.1358	7.81E-39	5.18E-37
GO_DOUBLE_STRANDED_DNA_BINDING	764	Interacting selectively and non-covalently with double-stranded DNA.	141	0.1846	1.17E-37	7.23E-36
GO_TRANSITION_METAL_ION_BINDING	1400	Interacting selectively and non-covalently with a transition metal ions; a transition metal is an element whose atom has an incomplete d-subshell of extranuclear electrons, or which gives rise to a cation or cations with an incomplete d-subshell. Transition metals often have more than one valency state. Biologically relevant transition metals include vanadium, manganese, iron, copper, cobalt, nickel, molybdenum and silver.	199	0.1421	1.13E-35	6.56E-34
GO_ENZYME_REGULATOR_ACTIVITY	959	Binds to and modulates the activity of an enzyme.	157	0.1637	2.28E-35	1.25E-33
GO_TRANSPORTER_ACTIVITY	1276	Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells.	187	0.1466	2.56E-35	1.32E-33
GO_TRANSCRIPTIONAL_ACTIVATOR_ACTIVITY_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_BINDING	315	Interacting selectively and non-covalently with a sequence of DNA that is in the transcription regulatory region for RNA polymerase II (RNAP II) in order to activate or increase the frequency, rate or extent of transcription from the RNAP II promoter.	84	0.2667	8.03E-35	3.93E-33
GO_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_CORE_PROMOTER_PROXIMAL_REGION_SEQUENCE_SPECIFIC_BINDING	328	Interacting selectively and non-covalently with a sequence of DNA that is in cis with and relatively close to a core promoter for RNA polymerase II (RNAP II) in order to modulate transcription by RNAP II.	85	0.2591	3.26E-34	1.51E-32
