	#Gene_ID	ES2050	ES569	ES2483	ES2162	ES2329	ES2431	ES2160	ES2076	ES568	ES566	ES567	ES2484	ES2341	ES2049
0	ENSG00000223972	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	ENSG00000227232	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	ENSG00000243485	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	ENSG00000238009	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	ENSG00000233750	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	ENSG00000237683	2	0	1	3	2	4	1	3	3	2	0	2	3	2
11	ENSG00000268903	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	ENSG00000269981	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	ENSG00000239906	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	ENSG00000241860	0	0	0	0	0	0	0	1	1	0	0	0	1	0
15	ENSG00000222623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	ENSG00000228463	0	0	0	0	0	0	0	0	1	0	0	1	0	0
18	ENSG00000241670	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	ENSG00000241670	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	ENSG00000237094	1	0	0	0	0	0	0	0	0	1	0	0	0	0
21	ENSG00000250575	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	ENSG00000237094	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	ENSG00000224813	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	ENSG00000237094	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	ENSG00000235249	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	ENSG00000256186	0	0	0	0	0	0	0	0	0	0	0	0	0	0
