Symbol	log2FoldChange	foldChange	pvalue	padj	qvalue
CRIP2	0.2223676426	1.166646629	7.83E-08	0.0001635219	0.0001050783
SYT12	-0.1909565292	0.8760247108	9.19E-08	0.0001635219	0.0001050783
DPYSL3	0.2215582355	1.1659922791	1.57E-07	0.0001866166	0.0001199188
SYT1	-0.3244127957	0.7986233751	2.69E-07	0.0002033691	0.0001306839
RPH3A	-0.1853309095	0.8794473348	2.86E-07	0.0002033691	0.0001306839
RAP2B	0.1663683131	1.1222299438	4.70E-07	0.0002627492	0.0001688413
DAZAP1	-0.1616221974	0.8940192511	5.17E-07	0.0002627492	0.0001688413
MAPK1	0.1852158134	1.1369870429	6.18E-07	0.0002749379	0.0001766737
SLC25A5	-0.1633518091	0.8929480755	1.12E-06	0.0004435984	0.000285054
MAPK3	0.2553320097	1.1936103989	2.79E-06	0.000992212	0.0006375902
ACTA2	0.1068851468	1.0769006406	3.21E-06	0.0010389093	0.0006675976
NEK7	0.1322566705	1.0960067401	3.56E-06	0.0010549332	0.0006778945
HCN1	-0.1567906835	0.8970182961	3.93E-06	0.0010769452	0.0006920393
LYRM4	-0.1532287739	0.8992357055	4.69E-06	0.001142121	0.000733921
ISOC1	0.2090729026	1.1559451176	4.82E-06	0.001142121	0.000733921
NDUFA8	-0.1370677608	0.9093655395	5.68E-06	0.0012630626	0.0008116374
KIAA1107	-0.1652080669	0.8917998939	8.65E-06	0.0018094657	0.0011627531
TXN2	-0.2274771956	0.8541271773	9.24E-06	0.0018266164	0.0011737741
NFS1	-0.1353500655	0.9104488892	1.38E-05	0.0025763194	0.0016555293
KCNB1	-0.1825396296	0.8811505083	1.83E-05	0.0032313986	0.0020764797
LRRC59	-0.1163286936	0.9225322854	1.91E-05	0.0032313986	0.0020764797
GAD1	-0.1790346501	0.8832938366	2.44E-05	0.0039431883	0.002533872
NDUFC2	-0.1706665843	0.8884320943	2.58E-05	0.003988967	0.0025632892
ISCU	-0.1267226937	0.9159097202	3.67E-05	0.0051801777	0.0033287549
YWHAZ	0.0988711113	1.0709351428	3.67E-05	0.0051801777	0.0033287549
ATP2B2	-0.1436092576	0.9052516099	3.79E-05	0.0051801777	0.0033287549
BTF3	-0.108729809	0.9274042164	4.33E-05	0.0057036914	0.0036651621
ESD	0.093348213	1.0668432461	4.57E-05	0.0058053271	0.0037304726
SHROOM2	-0.1407525038	0.9070459205	4.80E-05	0.0058915478	0.0037858776
AMIGO1	-0.1633032211	0.8929781493	5.01E-05	0.0059463597	0.0038210994
NDUFA12	-0.0988808207	0.9337570783	5.90E-05	0.0063890059	0.0041055416
MTMR12	0.130982283	1.0950390231	5.95E-05	0.0063890059	0.0041055416
ATP8A1	0.1840169863	1.1360426405	6.00E-05	0.0063890059	0.0041055416
TBCB	0.125906023	1.0911927946	6.11E-05	0.0063890059	0.0041055416
CPLX1	-0.357264123	0.7806435623	6.62E-05	0.0067257288	0.0043219179
TESC	-0.2066248451	0.8665621658	7.13E-05	0.0070148465	0.0045077034
GDA	0.1742726889	1.1283953993	7.33E-05	0.0070148465	0.0045077034
NT5C	0.1954987988	1.1451200071	7.49E-05	0.0070148465	0.0045077034
ACOT13	-0.1105423503	0.9262397964	8.46E-05	0.0077178879	0.0049594741
DIRAS1	-0.1550242085	0.8981173023	8.97E-05	0.007938299	0.0051011091
DKC1	0.1319115276	1.0957445685	9.15E-05	0.007938299	0.0051011091
G6PD	0.0979971138	1.0702865573	9.98E-05	0.0083579	0.0053707425
MOCS1	-0.1330953409	0.9118729021	0.0001017537	0.0083579	0.0053707425
SCN3B	0.218901418	1.1638470038	0.000103358	0.0083579	0.0053707425
ASAP2	-0.1311166561	0.9131244119	0.0001109068	0.0087690281	0.0056349313
VAT1L	0.2279023252	1.1711308895	0.0001163894	0.0089958326	0.0057806746
NDUFS5	-0.1409254487	0.9069371937	0.000118832	0.0089958326	0.0057806746
GSTP1	0.1573125681	1.1152078087	0.000149014	0.0110060109	0.0070724046
DLAT	-0.08926487	0.9400016081	0.0001556205	0.0110060109	0.0070724046
MFN2	-0.1019998994	0.9317404942	0.000160221	0.0110060109	0.0070724046
SLC25A25	-0.1065399238	0.9288130041	0.0001609026	0.0110060109	0.0070724046
NAGK	0.1308386718	1.0949300243	0.0001646542	0.0110060109	0.0070724046
CXADR	0.1814131609	1.133994121	0.0001675448	0.0110060109	0.0070724046
ZYX	-0.2170552726	0.8603196694	0.000168774	0.0110060109	0.0070724046
VDAC1	-0.0785935841	0.9469803637	0.0001701323	0.0110060109	0.0070724046
ATP2B4	0.1098854707	1.0791425647	0.0001995613	0.0126792674	0.0081476304
PLCB1	-0.1144713318	0.9237207414	0.000211977	0.0128565682	0.008261563
ARHGAP1	0.12038441	1.0870244646	0.0002130634	0.0128565682	0.008261563
NOVA1	-0.1008963529	0.932453474	0.0002131921	0.0128565682	0.008261563
CNTNAP2	-0.0854311588	0.9425028207	0.0002169302	0.0128639584	0.0082663119
NDUFA4	-0.1191316223	0.9207416908	0.0002353584	0.0136394928	0.0087646662
MPP1	-0.1273120413	0.9155356433	0.000242397	0.0136394928	0.0087646662
CACNG2	-0.1469735212	0.903143086	0.000244714	0.0136394928	0.0087646662
TUBB	0.1213678652	1.0877657192	0.0002453422	0.0136394928	0.0087646662
GMPS	-0.0795416072	0.9463582888	0.0002718705	0.014881772	0.0095629483
PRUNE2	-0.1157022449	0.9229329554	0.0002855886	0.0153958237	0.0098932752
CUL2	0.0880651133	1.0629436472	0.0002943583	0.015631745	0.010044877
PSPC1	-0.1421153527	0.9061894797	0.0003055999	0.0159900636	0.0102751307
ARHGDIA	0.0816775617	1.058247853	0.0003216004	0.0164577396	0.0105756568
MRPL9	-0.1184698606	0.9211641303	0.0003237891	0.0164577396	0.0105756568
CAST	-0.1738518211	0.8864727439	0.0003368597	0.0168809416	0.0108476042
OLFM1	-0.1428896585	0.9057032512	0.0003735119	0.0184577136	0.0118608295
TPPP3	0.2459782049	1.1858965837	0.0004271572	0.0208195257	0.0133785175
NDUFA7	-0.1433809618	0.9053948705	0.0004392824	0.0211211745	0.0135723555
RFTN1	-0.1917007058	0.8755729528	0.0004491685	0.0213085558	0.0136927657
ACTB	0.0798513179	1.0569091114	0.0004627625	0.02166459	0.0139215514
STXBP5L	-0.0897743718	0.939669696	0.0005127288	0.0235337222	0.0151226459
GDI1	0.0618264611	1.0437863649	0.0005159163	0.0235337222	0.0151226459
VGF	-0.257052288	0.8367959139	0.0005379372	0.0238111899	0.0153009452
NDUFV1	-0.11209408	0.9252440897	0.0005411049	0.0238111899	0.0153009452
ALDH1A1	-0.2410083246	0.8461537142	0.0005476106	0.0238111899	0.0153009452
SLC4A8	-0.1936247475	0.8744060284	0.0005487683	0.0238111899	0.0153009452
COQ9	-0.130092808	0.9137726657	0.0005655643	0.0242443106	0.0155792663
NUCB1	-0.1621705841	0.8936794875	0.0005996541	0.0252443762	0.0162219032
SUCLA2	-0.1365716295	0.9096783168	0.0006084452	0.0252443762	0.0162219032
ACSL6	-0.1244848427	0.9173315453	0.0006163097	0.0252443762	0.0162219032
TMEM55B	0.0982490917	1.0704735074	0.000617274	0.0252443762	0.0162219032
GK	-0.0891510648	0.9400757619	0.0006495245	0.0259947914	0.016704116
SLC43A2	-0.1736879387	0.8865734482	0.0006502351	0.0259947914	0.016704116
PVALB	-0.4970737283	0.7085424876	0.0006627494	0.0261695588	0.0168164206
NAP1L5	-0.1954350221	0.8733095234	0.000669317	0.0261695588	0.0168164206
NDUFA9	-0.0968137775	0.9350958918	0.000687518	0.026589012	0.0170859591
CPE	0.1439381893	1.1049171448	0.0007165161	0.0274125182	0.0176151398
TUBB2A	0.0713404415	1.050692453	0.0007896409	0.0297091132	0.0190909196
CPLX2	-0.2809330862	0.8230585187	0.000797146	0.0297091132	0.0190909196
NDUFB5	-0.1260618381	0.9163293673	0.000801595	0.0297091132	0.0190909196
PEX19	-0.151262752	0.9004619676	0.0008124779	0.0298020247	0.0191506241
ACTR3	0.0997724255	1.0716044115	0.000824315	0.0299276806	0.0192313699
MT3	-0.3241550913	0.7987660436	0.0008504932	0.0300793944	0.0193288604
GPR158	-0.12868195	0.9146667105	0.0008529448	0.0300793944	0.0193288604
PODXL	-0.0887829422	0.9403156652	0.0008538558	0.0300793944	0.0193288604
AKR1B1	0.0609965237	1.0431860799	0.0008845086	0.0305652659	0.0196410789
PSMF1	0.1052889926	1.075709849	0.0008848292	0.0305652659	0.0196410789
CALB2	0.2476949563	1.1873085948	0.0008936815	0.0305742203	0.0196468329
PDHX	-0.0896365842	0.9397594454	0.0009415332	0.0314801319	0.0202289669
BLVRB	0.1890120806	1.1399828185	0.0009498632	0.0314801319	0.0202289669
TCEAL5	-0.198537619	0.8714334401	0.0009594732	0.0314801319	0.0202289669
GPC4	0.1198069709	1.0865894698	0.0009654721	0.0314801319	0.0202289669
NDUFS4	-0.1030412651	0.9310681883	0.0009659021	0.0314801319	0.0202289669
KCNA2	-0.1805382177	0.8823737529	0.0009732475	0.0314801319	0.0202289669
CYCS	-0.1031556185	0.9309943913	0.0010061955	0.0322526444	0.0207253794
ATP2B3	-0.0831102438	0.9440202789	0.0010661689	0.0335050579	0.0215301737
RPS6KB1	-0.0873067147	0.941278329	0.0010778124	0.0335050579	0.0215301737
RAB21	0.087423749	1.0624712102	0.0010848863	0.0335050579	0.0215301737
TMEM30A	0.1218117595	1.0881004589	0.00108546	0.0335050579	0.0215301737
VAMP1	-0.2283577827	0.8536059972	0.001100294	0.0335050579	0.0215301737
RGS7	-0.0944438998	0.9366332118	0.0011017683	0.0335050579	0.0215301737
CADM1	0.1545127279	1.1130456222	0.0011127672	0.0335527607	0.0215608273
HMGB2	-0.1314981029	0.9128830149	0.0011321975	0.0338517545	0.0217529591
GLUD1	0.1075358402	1.0773864606	0.0011490743	0.0340700536	0.021893237
ATPIF1	-0.3919892656	0.7620780854	0.0011931901	0.0350857046	0.0225458889
GAB2	-0.1406285249	0.9071238714	0.0012334822	0.0356899459	0.0229341712
SYT2	-0.4050206747	0.7552254699	0.0012338008	0.0356899459	0.0229341712
CAMKV	0.1042200479	1.0749131121	0.0012492847	0.035846411	0.0230347149
EEF1A1	0.0678643749	1.0481639349	0.0012839887	0.0361989181	0.0232612341
CRELD1	-0.1072933098	0.9283280977	0.0012869339	0.0361989181	0.0232612341
NDUFB3	-0.1283324665	0.9148883095	0.0013001939	0.0361989181	0.0232612341
GNB5	-0.0841371309	0.9433485795	0.0013277231	0.0361989181	0.0232612341
COX4I1	-0.1011201768	0.9323088217	0.001331807	0.0361989181	0.0232612341
BAIAP3	0.2201917391	1.1648883939	0.0013362803	0.0361989181	0.0232612341
AUH	-0.0990587563	0.9336419199	0.0013414895	0.0361989181	0.0232612341
USP5	0.0652314115	1.0462527476	0.0013429615	0.0361989181	0.0232612341
CORO2B	-0.0644169806	0.9563317106	0.0013541064	0.0362248928	0.0232779253
PHB	-0.0745091779	0.9496651534	0.0013771255	0.0365657638	0.0234969672
NDUFB1	-0.1445820379	0.9046414226	0.001403385	0.0369869926	0.0237676466
AQP1	0.3829800565	1.3040327085	0.0014243165	0.0371848632	0.0238947972
CHM	0.094390059	1.067613948	0.0014317949	0.0371848632	0.0238947972
GUCY1A2	-0.0888607321	0.9402649649	0.0015120438	0.0389844334	0.0250511916
PDCD6IP	-0.0706426478	0.9522137404	0.0015531206	0.0397554187	0.0255466226
YWHAE	0.0538545452	1.038034609	0.0015652687	0.0397801857	0.0255625378
RPLP0	-0.0796705885	0.9462736853	0.0015769807	0.0397935987	0.0255711569
MLYCD	-0.1085207616	0.9275386076	0.0016889984	0.0423201153	0.0271946831
NPTX2	-0.2252563919	0.8554429852	0.0017487891	0.0435118301	0.0279604728
ATAD1	-0.129064597	0.914424145	0.0017751164	0.0437108623	0.0280883699
CMBL	0.1051651032	1.0756174779	0.0017813589	0.0437108623	0.0280883699
PDXK	0.1169871719	1.084467766	0.0018037605	0.0439573971	0.0282467918
RPS14	-0.0811711326	0.9452899797	0.0018188994	0.0439677716	0.0282534585
NUDT3	0.138632664	1.1008612634	0.001839437	0.0439677716	0.0282534585
GJB1	-0.1795596712	0.8829724495	0.0018412586	0.0439677716	0.0282534585
ELAVL2	-0.1026268303	0.9313356894	0.0018625149	0.0441491438	0.0283700072
PURA	-0.0700114633	0.9526304287	0.0018789874	0.0441491438	0.0283700072
ACTN4	-0.0823965301	0.9444874094	0.0018951011	0.0441491438	0.0283700072
ERP44	-0.0651206181	0.9558653981	0.0018984876	0.0441491438	0.0283700072
SGTA	0.0901855996	1.0645071202	0.0019473682	0.0449917929	0.0289114891
NDUFAB1	-0.2629841707	0.8333623508	0.0019851808	0.045569506	0.0292827245
YARS2	-0.1515458225	0.9002853057	0.0020146668	0.0459498994	0.0295271633
UQCRC1	-0.105601399	0.9294174267	0.002038169	0.0460369313	0.0295830895
KPNB1	0.1157245131	1.0835190459	0.0020443606	0.0460369313	0.0295830895
LONP1	-0.0830556097	0.9440560291	0.002068578	0.0462893108	0.0297452673
SYAP1	-0.0814457907	0.945110034	0.0021190244	0.0471218041	0.0302802231
UMPS	0.0904866831	1.0647293009	0.0022298407	0.0491701784	0.0315964977
PSMA4	0.0529765321	1.0374030613	0.0022387771	0.0491701784	0.0315964977
NRBF2	-0.0776423982	0.947604925	0.002263446	0.0492180062	0.0316272315
IMPA1	0.0784370882	1.0558735634	0.0022866869	0.0492180062	0.0316272315
FAM171B	0.0885017171	1.0632653753	0.0022896834	0.0492180062	0.0316272315
CA1	0.3080478739	1.2380313726	0.002296287	0.0492180062	0.0316272315
COX7A2L	-0.0863733088	0.9418875215	0.0023288761	0.049495225	0.0318053709
HSCB	-0.1192984196	0.9206352453	0.0023370427	0.049495225	0.0318053709
