HGNC symbol	Description	Phenotype description
A2ML1	alpha-2-macroglobulin like 1 [Source:HGNC Symbol;Acc:HGNC:23336]	NOONAN SYNDROME
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	Coloboma of choroid and retina
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	Coloboma of eye lens
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	Coloboma of eyelid
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	Coloboma of iris
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	Coloboma of macula
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	Coloboma of optic papilla
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	Colobomatous microphthalmia
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	Dyschromatosis universalis hereditaria 3
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	Familial pseudohyperkalemia
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	BLOOD GROUP LANGEREIS SYSTEM
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	Microphthalmia isolated with coloboma 7
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	PSEUDOHYPERKALEMIA FAMILIAL 2 DUE TO RED CELL LEAK
ABCE1	ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]	
ACADSB	acyl-CoA dehydrogenase, short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]	2-@METHYLBUTYRYL-CoA DEHYDROGENASE DEFICIENCY
ACADVL	acyl-CoA dehydrogenase, very long chain [Source:HGNC Symbol;Acc:HGNC:92]	Very long chain acyl-CoA dehydrogenase deficiency
ACADVL	acyl-CoA dehydrogenase, very long chain [Source:HGNC Symbol;Acc:HGNC:92]	ACYL-CoA DEHYDROGENASE VERY LONG-CHAIN DEFICIENCY OF
ACADVL	acyl-CoA dehydrogenase, very long chain [Source:HGNC Symbol;Acc:HGNC:92]	Very Long Chain Acyl-Coenzyme A Dehydrogenase Deficiency
ACRC	acidic repeat containing [Source:HGNC Symbol;Acc:HGNC:15805]	
ACTA2	actin, alpha 2, smooth muscle, aorta [Source:HGNC Symbol;Acc:HGNC:130]	Familial thoracic aortic aneurysm and aortic dissection
ACTA2	actin, alpha 2, smooth muscle, aorta [Source:HGNC Symbol;Acc:HGNC:130]	Moyamoya disease
ACTA2	actin, alpha 2, smooth muscle, aorta [Source:HGNC Symbol;Acc:HGNC:130]	MULTISYSTEMIC SMOOTH MUSCLE DYSFUNCTION SYNDROME
ACTA2	actin, alpha 2, smooth muscle, aorta [Source:HGNC Symbol;Acc:HGNC:130]	AORTIC ANEURYSM FAMILIAL THORACIC 6
ACTA2	actin, alpha 2, smooth muscle, aorta [Source:HGNC Symbol;Acc:HGNC:130]	Moyamoya disease 5
ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	Familial isolated dilated cardiomyopathy
ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	CARDIOMYOPATHY DILATED 1AA WITH OR WITHOUT LEFT VENTRICULAR NONCOMPACTION
ADAM33	ADAM metallopeptidase domain 33 [Source:HGNC Symbol;Acc:HGNC:15478]	
